"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"filterbubbles_ver1.2.nlogo"
"experiment"
"05/19/2025 11:38:41:351 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","acceptance-latitude","acceptance-sharpness","[step]","number-of-bubbles","biggest-cluster-tightness","biggest-cluster-size"
"549","0.5","3","1001","1","0.7","100"
"547","0.5","3","1001","1","0.8","100"
"550","0.5","3","1001","1","0.8","100"
"551","0.5","4","1001","1","0.7","100"
"553","0.5","4","1001","1","0.8","100"
"554","0.5","4","1001","1","0.6","100"
"555","0.5","4","1001","1","0.6","100"
"552","0.5","4","1001","1","0.7","100"
"556","0.5","4","1001","1","0.7","100"
"557","0.5","4","1001","1","0.7","100"
"558","0.5","4","1001","1","0.7","100"
"559","0.5","4","1001","1","0.7","100"
"560","0.5","4","1001","1","0.6","100"
"563","0.5","5","1001","1","0.6","100"
"561","0.5","5","1001","1","0.8","100"
"562","0.5","5","1001","1","0.8","100"
"564","0.5","5","1001","1","0.9","100"
"565","0.5","5","1001","1","0.5","100"
"566","0.5","5","1001","1","0.7","100"
"568","0.5","5","1001","1","0.7","100"
"569","0.5","5","1001","1","0.6","100"
"567","0.5","5","1001","1","0.6","100"
"571","0.5","6","1001","1","0.6","100"
"572","0.5","6","1001","1","0.5","100"
"570","0.5","5","1001","1","0.6","100"
"573","0.5","6","1001","1","0.8","100"
"574","0.5","6","1001","1","0.8","100"
"576","0.5","6","1001","1","0.6","100"
"577","0.5","6","1001","1","0.8","100"
"578","0.5","6","1001","1","0.6","100"
"575","0.5","6","1001","1","0.6","100"
"579","0.5","6","1001","1","0.8","100"
"580","0.5","6","1001","1","0.8","100"
"582","0.5","7","1001","1","0.8","100"
"581","0.5","7","1001","1","0.6","100"
"583","0.5","7","1001","1","0.7","100"
"584","0.5","7","1001","1","0.6","100"
"585","0.5","7","1001","1","0.6","100"
"587","0.5","7","1001","1","0.7","100"
"588","0.5","7","1001","1","0.7","100"
"586","0.5","7","1001","1","0.9","100"
"589","0.5","7","1001","1","0.6","100"
"591","0.5","8","1001","1","0.9","100"
"592","0.5","8","1001","1","0.8","100"
"590","0.5","7","1001","1","0.5","100"
"593","0.5","8","1001","1","0.5","100"
"595","0.5","8","1001","1","0.6","100"
"594","0.5","8","1001","1","0.8","100"
"596","0.5","8","1001","1","0.8","100"
"597","0.5","8","1001","1","0.6","100"
"604","0.5","9","1001","1","6.5","100"
"598","0.5","8","1001","1","0.7","100"
"601","0.5","9","1001","2","0.7","94"
"599","0.5","8","1001","1","0.6","100"
"600","0.5","8","1001","1","0.5","100"
"602","0.5","9","1001","1","0.7","100"
"603","0.5","9","1001","1","0.6","100"
"605","0.5","9","1001","1","0.8","100"
"606","0.5","9","1001","1","0.7","100"
"607","0.5","9","1001","1","0.8","100"
"609","0.5","9","1001","1","0.6","100"
"608","0.5","9","1001","1","0.6","100"
"612","0.5","10","1001","1","0.7","100"
"611","0.5","10","1001","1","0.9","100"
"610","0.5","9","1001","1","0.8","100"
"613","0.5","10","1001","1","0.6","100"
"615","0.5","10","1001","1","0.8","100"
"614","0.5","10","1001","1","0.6","100"
"616","0.5","10","1001","1","0.7","100"
"617","0.5","10","1001","1","0.6","100"
"618","0.5","10","1001","1","0.6","100"
"622","0.5","11","1001","2","0.7","69"
"620","0.5","10","1001","1","0.8","100"
"619","0.5","10","1001","1","0.8","100"
"629","0.5","11","1002","2","0.6","70"
"623","0.5","11","1001","1","1.5","100"
"621","0.5","11","1001","1","0.8","100"
"627","0.5","11","1001","1","0.7","100"
